"","SampleID","Com_Id","Media","Temp","Evo_status","Stress","Diversity","Id","Abundance"
"1","M1.20.C1","Com1","M1",20,NA,"Control","Two","D14",0.00241961014879472
"2","M1.20.C1","Com1","M1",20,NA,"Control","Two","I11",0.000399499494972337
"3","M1.20.C1","Com1","M1",20,NA,"Control","Two","I18",0.000165829979045121
"4","M1.20.C1","Com1","M1",20,NA,"Control","Two","I9",0.0200578897381394
"5","M1.20.C1","Com1","M1",20,NA,"Control","Two","I15",0.966396816064402
"6","M1.20.C1","Com1","M1",20,NA,"Control","Two","I23",7.53772632023277e-05
"7","M1.20.C1","Com1","M1",20,NA,"Control","Two","D11",2.26131789606983e-05
"8","M1.20.C1","Com1","M1",20,NA,"Control","Two","I20",8.29149895225604e-05
"9","M1.20.C1","Com1","M1",20,NA,"Control","Two","I22",9.7990442163026e-05
"10","M1.20.C1","Com1","M1",20,NA,"Control","Two","D17",0.000497489937135363
"11","M1.20.C1","Com1","M1",20,NA,"Control","Two","I2",0
"12","M1.20.C1","Com1","M1",20,NA,"Control","Two","I8",0.00978396876366213
"13","M1.20.C10","Com10","M1",20,NA,"Control","Four","I15",0.687821469282596
"14","M1.20.C10","Com10","M1",20,NA,"Control","Four","I2",0.0184146872654143
"15","M1.20.C10","Com10","M1",20,NA,"Control","Four","I18",0.0119922523006775
"16","M1.20.C10","Com10","M1",20,NA,"Control","Four","I20",0.00196472757940002
"17","M1.20.C10","Com10","M1",20,NA,"Control","Four","D11",0.00108430720183869
"18","M1.20.C10","Com10","M1",20,NA,"Control","Four","I11",0.00176084075512266
"19","M1.20.C10","Com10","M1",20,NA,"Control","Four","I9",0.0154953986450794
"20","M1.20.C10","Com10","M1",20,NA,"Control","Four","I23",0.248843869030518
"21","M1.20.C10","Com10","M1",20,NA,"Control","Four","I22",0.00609806956247741
"22","M1.20.C10","Com10","M1",20,NA,"Control","Four","D17",0.000240957155964153
"23","M1.20.C10","Com10","M1",20,NA,"Control","Four","I8",0.00628342122091137
"24","M1.20.C10","Com10","M1",20,NA,"Control","Four","D14",0
"25","M1.20.C11","Com11","M1",20,NA,"Control","Four","I2",0.00101736023505091
"26","M1.20.C11","Com11","M1",20,NA,"Control","Four","D11",0.0126396835602725
"27","M1.20.C11","Com11","M1",20,NA,"Control","Four","I20",0.246844148550872
"28","M1.20.C11","Com11","M1",20,NA,"Control","Four","I15",0.00827724287237419
"29","M1.20.C11","Com11","M1",20,NA,"Control","Four","I23",0.00226260916275322
"30","M1.20.C11","Com11","M1",20,NA,"Control","Four","I18",0.00477752366379907
"31","M1.20.C11","Com11","M1",20,NA,"Control","Four","I22",0.0020103038244606
"32","M1.20.C11","Com11","M1",20,NA,"Control","Four","D14",0
"33","M1.20.C11","Com11","M1",20,NA,"Control","Four","I8",0.000463916267183214
"34","M1.20.C11","Com11","M1",20,NA,"Control","Four","I9",0.719574824810568
"35","M1.20.C11","Com11","M1",20,NA,"Control","Four","D17",0.000211610928890589
"36","M1.20.C11","Com11","M1",20,NA,"Control","Four","I11",0.00192077612377612
"37","M1.20.C12","Com12","M1",20,NA,"Control","Four","I20",0.0170672432752105
"38","M1.20.C12","Com12","M1",20,NA,"Control","Four","D14",0
"39","M1.20.C12","Com12","M1",20,NA,"Control","Four","I2",0.00257810550827489
"40","M1.20.C12","Com12","M1",20,NA,"Control","Four","I23",0.00557203448562637
"41","M1.20.C12","Com12","M1",20,NA,"Control","Four","I15",0.0153669873127639
"42","M1.20.C12","Com12","M1",20,NA,"Control","Four","D17",0.0029200048050712
"43","M1.20.C12","Com12","M1",20,NA,"Control","Four","I18",0.580933107864608
"44","M1.20.C12","Com12","M1",20,NA,"Control","Four","D11",0.159666971603877
"45","M1.20.C12","Com12","M1",20,NA,"Control","Four","I9",0.0152838226189486
"46","M1.20.C12","Com12","M1",20,NA,"Control","Four","I8",0.0185642077638862
"47","M1.20.C12","Com12","M1",20,NA,"Control","Four","I11",0.0169748380598601
"48","M1.20.C12","Com12","M1",20,NA,"Control","Four","I22",0.165072676701873
"49","M1.20.C13","Com13","M1",20,"Non_evo","Control","Eight","D11",0.00432550896822193
"50","M1.20.C13","Com13","M1",20,"Non_evo","Control","Eight","D17",0.000893938520099198
"51","M1.20.C13","Com13","M1",20,"Non_evo","Control","Eight","D14",0
"52","M1.20.C13","Com13","M1",20,"Non_evo","Control","Eight","I23",0.103812215237326
