,Id,estimate,TempLevel,SalinityLevel,pH_Level,Rep
1,I9,0.002703143,20,0,7.2,1
2,I9,0.002498908,20,0,7.2,2
3,I9,0.002499039,20,0,7.2,3
4,I9,0.001754479,20,20,7.2,1
5,I9,0.001830222,20,20,7.2,2
6,I9,0.001748131,20,20,7.2,3
7,I9,0.006003798,38,0,7.2,1
8,I9,0.005718849,38,0,7.2,2
9,I9,0.005294998,38,0,7.2,3
10,I9,0.004297995,38,20,7.2,1
11,I9,0.005670206,38,20,7.2,2
12,I9,0.005415241,38,20,7.2,3
13,I9,0.003454146,20,5,7.2,1
14,I9,0.003128301,20,5,7.2,2
15,I9,0.002934142,20,5,7.2,3
16,I9,0.001414273,20,25,7.2,1
17,I9,0.001577762,20,25,7.2,2
18,I9,0.001473031,20,25,7.2,3
19,I9,0.00741613,38,5,7.2,1
20,I9,0.007127722,38,5,7.2,2
21,I9,0.006907659,38,5,7.2,3
22,I9,0.00230766,38,25,7.2,1
23,I9,0.002368903,38,25,7.2,2
24,I9,0.002560691,38,25,7.2,3
25,I9,0.003509556,20,10,7.2,1
26,I9,0.003099036,20,10,7.2,2
27,I9,0.002452684,20,10,7.2,3
28,I9,0.001413031,20,30,7.2,1
29,I9,0.001775459,20,30,7.2,2
30,I9,0.001425301,20,30,7.2,3
31,I9,0.007110545,38,10,7.2,1
32,I9,0.006665596,38,10,7.2,2
33,I9,0.005353248,38,10,7.2,3
34,I9,0.00203579,38,30,7.2,1
36,I9,0.002505392,38,30,7.2,3
37,I9,0.002846741,20,15,7.2,1
38,I9,0.00225819,20,15,7.2,2
39,I9,0.002691791,20,15,7.2,3
40,I9,0.000329858,20,35,7.2,1
41,I9,0.000314973,20,35,7.2,2
42,I9,0.000321076,20,35,7.2,3
43,I9,0.007019813,38,15,7.2,1
44,I9,0.007072103,38,15,7.2,2
45,I9,0.006988527,38,15,7.2,3
46,I9,0.000441757,38,35,7.2,1
47,I9,0.000502316,38,35,7.2,2
48,I9,0.000657064,38,35,7.2,3
49,I9,0.002755305,20,0,5.5,1
50,I9,0.002765302,20,0,5.5,2
51,I9,0.002670446,20,0,5.5,3
52,I9,0.00146146,20,20,5.5,1
53,I9,0.001577175,20,20,5.5,2
54,I9,0.001466846,20,20,5.5,3
55,I9,0.007076832,38,0,5.5,1
