Id,estimate,TempLevel,Stress,Rep
I9,0.002089323,15,Control,1
I9,0.002056369,15,Control,2
I9,0.001809469,15,Control,3
I9,0.001102829,15,Sal,1
I9,0.001086918,15,Sal,2
I9,0.001150779,15,Sal,3
I9,0.002877277,20,Control,1
I9,0.002821736,20,Control,2
I9,0.002628731,20,Control,3
I9,0.001763255,20,Sal,1
I9,0.001844834,20,Sal,2
I9,0.001883032,20,Sal,3
I9,0.003601996,23,Control,1
I9,0.003480911,23,Control,2
I9,0.003545969,23,Control,3
I9,0.001992306,23,Sal,1
I9,0.002039841,23,Sal,2
I9,0.002228527,23,Sal,3
I9,0.004233878,27,Control,1
I9,0.003706102,27,Control,2
I9,0.00353346,27,Control,3
I9,0.00269734,27,Sal,1
I9,0.00289443,27,Sal,2
I9,0.002461586,27,Sal,3
I9,0.003844412,30,Control,1
I9,0.003755036,30,Control,2
I9,0.003756598,30,Control,3
I9,0.003208528,30,Sal,1
I9,0.003212688,30,Sal,2
I9,0.003297458,30,Sal,3
I9,0.006697978,34,Control,1
I9,0.005803877,34,Control,2
I9,0.005662611,34,Control,3
I9,0.004420742,34,Sal,1
I9,0.004621819,34,Sal,2
I9,0.004575205,34,Sal,3
I9,0.006948503,38,Control,1
I9,0.006463301,38,Control,2
I9,0.006027596,38,Control,3
I9,0.004810759,38,Sal,1
I9,0.004926438,38,Sal,2
I9,0.004205224,38,Sal,3
I9,0.008595893,42,Control,1
I9,0.007906685,42,Control,2
I9,0.007589554,42,Control,3
I9,0.004344328,42,Sal,1
I9,0.004248674,42,Sal,2
I9,0.003797181,42,Sal,3
I9,0.002077139,15,pH,1
I9,0.001704616,15,pH,2
I9,0.0019504,15,pH,3
I9,0.000623252,15,pH_Sal,1
I9,0.000646008,15,pH_Sal,2
I9,0.000722342,15,pH_Sal,3
I9,0.0028949,20,pH,1
I9,0.002887671,20,pH,2
I9,0.003065101,20,pH,3
I9,0.001641926,20,pH_Sal,1
I9,0.00185495,20,pH_Sal,2
I9,0.00164866,20,pH_Sal,3
I9,0.003743386,23,pH,1
I9,0.004062354,23,pH,2
I9,0.004065213,23,pH,3
I9,0.001657877,23,pH_Sal,1
I9,0.001666905,23,pH_Sal,2
I9,0.001677726,23,pH_Sal,3
I9,0.005542335,27,pH,1
I9,0.00483951,27,pH,2
I9,0.004970113,27,pH,3
I9,0.002285566,27,pH_Sal,1
I9,0.002400578,27,pH_Sal,2
I9,0.002472513,27,pH_Sal,3
I9,0.004776496,30,pH,1
I9,0.005258276,30,pH,2
I9,0.005059309,30,pH,3
I9,0.003365688,30,pH_Sal,1
I9,0.003413783,30,pH_Sal,2
I9,0.003632001,30,pH_Sal,3
I9,0.007513112,34,pH,1
I9,0.005166109,34,pH,2
I9,0.006294174,34,pH,3
I9,0.004623302,34,pH_Sal,1
I9,0.004738028,34,pH_Sal,2
I9,0.004887116,34,pH_Sal,3
I9,0.007004131,38,pH,1
I9,0.006311928,38,pH,2
I9,0.006283977,38,pH,3
I9,0.004733597,38,pH_Sal,1
I9,0.005133853,38,pH_Sal,2
I9,0.005459448,38,pH_Sal,3
I9,0.009713278,42,pH,1
I9,0.009211289,42,pH,2
I9,0.009015546,42,pH,3
I9,0.003517083,42,pH_Sal,1
I9,0.003401151,42,pH_Sal,2
I9,0.004290155,42,pH_Sal,3
I11,0.001105445,15,Control,1
I11,0.001079679,15,Control,2
I11,0.001134028,15,Control,3
I11,0.001608557,15,Sal,1
I11,0.00115883,15,Sal,2
I11,0.001080851,15,Sal,3
I11,0.001817795,20,Control,1
I11,0.00184121,20,Control,2
I11,0.001855652,20,Control,3
I11,0.001765849,20,Sal,1
I11,0.001850061,20,Sal,2
I11,0.001807242,20,Sal,3
I11,0.001737255,23,Control,1
I11,0.001886149,23,Control,2
I11,0.001593505,23,Control,3
I11,0.002249158,23,Sal,1
I11,0.002270901,23,Sal,2
I11,0.00222112,23,Sal,3
I11,0.0030279,27,Control,1
I11,0.002899348,27,Control,2
I11,0.002795253,27,Control,3
I11,0.002291822,27,Sal,1
I11,0.002462757,27,Sal,2
I11,0.002353078,27,Sal,3
I11,0.003355537,30,Control,1
I11,0.003263437,30,Control,2
I11,0.003082794,30,Control,3
