"best_model_name","n","perc","Id"
"fits_baranyi_without_lag",66,61.1,"D11"
NA,27,25,"D11"
"fits_gompertz",6,5.6,"D11"
"fits_buchanan_without_lag",5,4.6,"D11"
"fits_baranyi",3,2.8,"D11"
"fits_buchanan",1,0.9,"D11"
"fits_baranyi_without_lag",35,32.7,"D14"
NA,25,23.4,"D14"
"fits_gompertz",21,19.6,"D14"
"fits_baranyi",17,15.9,"D14"
"fits_buchanan_without_lag",9,8.4,"D14"
"fits_baranyi_without_lag",52,48.1,"D17"
NA,30,27.8,"D17"
"fits_gompertz",17,15.7,"D17"
"fits_baranyi",6,5.6,"D17"
"fits_buchanan",3,2.8,"D17"
"fits_baranyi_without_lag",44,40.7,"I11"
NA,24,22.2,"I11"
"fits_gompertz",20,18.5,"I11"
"fits_baranyi",17,15.7,"I11"
"fits_buchanan",2,1.9,"I11"
"fits_buchanan_without_lag",1,0.9,"I11"
"fits_baranyi_without_lag",71,65.7,"I15"
NA,25,23.1,"I15"
"fits_gompertz",8,7.4,"I15"
"fits_baranyi",4,3.7,"I15"
"fits_baranyi_without_lag",61,56.5,"I2"
NA,33,30.6,"I2"
"fits_baranyi",6,5.6,"I2"
"fits_buchanan_without_lag",5,4.6,"I2"
"fits_gompertz",3,2.8,"I2"
"fits_baranyi_without_lag",78,72.2,"I20"
NA,14,13,"I20"
"fits_gompertz",13,12,"I20"
"fits_baranyi",1,0.9,"I20"
"fits_buchanan",1,0.9,"I20"
"fits_buchanan_without_lag",1,0.9,"I20"
"fits_gompertz",34,31.8,"I22"
NA,28,26.2,"I22"
"fits_baranyi_without_lag",19,17.8,"I22"
"fits_baranyi",14,13.1,"I22"
"fits_buchanan_without_lag",12,11.2,"I22"
NA,42,40,"I23"
"fits_baranyi_without_lag",39,37.1,"I23"
"fits_gompertz",18,17.1,"I23"
"fits_baranyi",5,4.8,"I23"
"fits_buchanan_without_lag",1,1,"I23"
"fits_gompertz",38,35.2,"I8"
NA,30,27.8,"I8"
"fits_baranyi_without_lag",29,26.9,"I8"
"fits_baranyi",10,9.3,"I8"
"fits_buchanan_without_lag",1,0.9,"I8"
"fits_gompertz",59,54.6,"I9"
"fits_baranyi",19,17.6,"I9"
"fits_baranyi_without_lag",11,10.2,"I9"
NA,10,9.3,"I9"
"fits_buchanan",6,5.6,"I9"
"fits_buchanan_without_lag",3,2.8,"I9"
