"Id","Rep","TempLevel","Stress","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"D11","1",15,"Control","fits_baranyi_without_lag",-73.8986287406268,"log10_nmax",-0.442532437087212,0.0115381554739,-38.3538285723612,9.21638219032284e-15
"D11","1",15,"Control","fits_baranyi_without_lag",-73.8986287406268,"log10_n0",-1.21360608963923,0.0128867955401016,-94.1743884942294,8.17091755568761e-20
"D11","1",15,"Control","fits_baranyi_without_lag",-73.8986287406268,"mumax",0.00206572281965181,8.38267561029854e-05,24.64276223589,2.68832955976985e-12
"D11","2",15,"Control","fits_baranyi_without_lag",-74.134900341198,"log10_nmax",-0.438091643289806,0.0117018511750136,-37.4378067826774,1.2586228057204e-14
"D11","2",15,"Control","fits_baranyi_without_lag",-74.134900341198,"log10_n0",-1.20045196150082,0.0127489136207774,-94.1611181320109,8.18587985364551e-20
"D11","2",15,"Control","fits_baranyi_without_lag",-74.134900341198,"mumax",0.00201815121957629,8.28583482374554e-05,24.3566431446675,3.11970141399528e-12
"D11","3",15,"Control","fits_baranyi_without_lag",-71.4417446081666,"log10_nmax",-0.442794673838163,0.0123036708604646,-35.9888263315785,2.09296767432605e-14
"D11","3",15,"Control","fits_baranyi_without_lag",-71.4417446081666,"log10_n0",-1.2051242332744,0.0139795792914578,-86.2060444129951,2.57431238857028e-19
"D11","3",15,"Control","fits_baranyi_without_lag",-71.4417446081666,"mumax",0.00208455378994931,9.23185400756355e-05,22.5800125114789,8.17521958210961e-12
"D11","1",15,"Sal","fits_buchanan_without_lag",-75.078680318117,"log10_nmax",-0.739828176580393,0.00798905394654449,-92.6052297970013,1.01625775064465e-19
"D11","1",15,"Sal","fits_buchanan_without_lag",-75.078680318117,"log10_n0",-1.26274566295928,0.0101370315510101,-124.567597191059,2.16164308069085e-21
"D11","1",15,"Sal","fits_buchanan_without_lag",-75.078680318117,"mumax",0.000832406784219732,3.02310235204544e-05,27.5348528526176,6.51604590165537e-13
"D11","2",15,"Sal","fits_buchanan_without_lag",-75.381090234777,"log10_nmax",-0.749757480594301,0.00722437883615882,-103.781584216166,2.31480557562964e-20
"D11","2",15,"Sal","fits_buchanan_without_lag",-75.381090234777,"log10_n0",-1.24812360509714,0.0107221553109747,-116.406036743342,5.21252908831146e-21
"D11","2",15,"Sal","fits_buchanan_without_lag",-75.381090234777,"mumax",0.000857141659468245,3.62469562573844e-05,23.6472727084118,4.54513788343968e-12
"D11","3",15,"Sal","fits_gompertz",-98.0820736081643,"log10_nmax",-1.52015762280205,0.0539312382269999,-28.1869594093799,2.46346217250312e-12
"D11","3",15,"Sal","fits_gompertz",-98.0820736081643,"log10_n0",-0.691489494743701,0.00434534039917907,-159.13356175142,2.54748583379959e-21
"D11","3",15,"Sal","fits_gompertz",-98.0820736081643,"mumax",0.000945236112050645,1.85074341099735e-05,51.0733203983832,2.08432015435135e-15
"D11","3",15,"Sal","fits_gompertz",-98.0820736081643,"lag",1389.35540484855,21.2003707132641,65.5344863370383,1.05684022673457e-16
"D11","1",20,"Control","fits_baranyi_without_lag",-69.4503720086369,"log10_nmax",-0.462637743446806,0.0129136556341056,-35.8254669750491,2.2192636596344e-14
"D11","1",20,"Control","fits_baranyi_without_lag",-69.4503720086369,"log10_n0",-1.28495315490296,0.014526188271332,-88.4576966029601,1.84212754338243e-19
"D11","1",20,"Control","fits_baranyi_without_lag",-69.4503720086369,"mumax",0.0021786834247055,9.31201700245442e-05,23.3964717217682,5.20542145471092e-12
"D11","2",20,"Control","fits_baranyi_without_lag",-70.259980165354,"log10_nmax",-0.461393017531079,0.0127444766055431,-36.2033712181167,1.93871813398874e-14
"D11","2",20,"Control","fits_baranyi_without_lag",-70.259980165354,"log10_n0",-1.2809351992668,0.0141281580172528,-90.6654071749881,1.33767949136749e-19
"D11","2",20,"Control","fits_baranyi_without_lag",-70.259980165354,"mumax",0.0021508853925291,9.02437809547201e-05,23.8341675157461,4.11184214904562e-12
"D11","3",20,"Control","fits_baranyi_without_lag",-69.6742092564937,"log10_nmax",-0.456763468872465,0.0131411981288161,-34.7581296922137,3.2758411123211e-14
"D11","3",20,"Control","fits_baranyi_without_lag",-69.6742092564937,"log10_n0",-1.28239609612655,0.0143308266534489,-89.4851446561823,1.5856974915853e-19
"D11","3",20,"Control","fits_baranyi_without_lag",-69.6742092564937,"mumax",0.002129815570586,9.04542815112762e-05,23.5457684810695,4.8008294699438e-12
"D11","1",20,"Sal","fits_baranyi_without_lag",-81.853368007984,"log10_nmax",-0.676128432563783,0.00905251447530477,-74.6895720971514,1.6547947929748e-18
"D11","1",20,"Sal","fits_baranyi_without_lag",-81.853368007984,"log10_n0",-1.282869297913,0.0101926316929811,-125.862420673595,1.88993220748696e-21
"D11","1",20,"Sal","fits_baranyi_without_lag",-81.853368007984,"mumax",0.00196045341123716,8.23367241752883e-05,23.8101944287159,4.16484891397972e-12
"D11","2",20,"Sal","fits_baranyi_without_lag",-87.8545115756321,"log10_nmax",-0.662679315038482,0.0079442910095959,-83.4157905643225,3.94558253848764e-19
"D11","2",20,"Sal","fits_baranyi_without_lag",-87.8545115756321,"log10_n0",-1.26563842546093,0.0083492058923711,-151.587880545308,1.68705074872287e-22
"D11","2",20,"Sal","fits_baranyi_without_lag",-87.8545115756321,"mumax",0.00185522879318849,6.61550807672111e-05,28.0436328045119,5.15480384257365e-13
"D11","3",20,"Sal","fits_baranyi_without_lag",-81.0938475066196,"log10_nmax",-0.66445365611862,0.00986117156242184,-67.3808027689799,6.29147995073249e-18
"D11","3",20,"Sal","fits_baranyi_without_lag",-81.0938475066196,"log10_n0",-1.26781493813619,0.0103017742822441,-123.067629264734,2.5300329895648e-21
"D11","3",20,"Sal","fits_baranyi_without_lag",-81.0938475066196,"mumax",0.00184722514954634,8.14231375120741e-05,22.6867350729689,7.70003708892886e-12
"D11","1",23,"Control","fits_baranyi_without_lag",-64.9348212583213,"log10_nmax",-0.486754968935587,0.0124144006277172,-39.2088980799302,6.93536840322378e-15
"D11","1",23,"Control","fits_baranyi_without_lag",-64.9348212583213,"log10_n0",-1.25629769940702,0.0175706838279654,-71.4996474643469,2.91483746534436e-18
"D11","1",23,"Control","fits_baranyi_without_lag",-64.9348212583213,"mumax",0.00263519945748584,0.000135896851930198,19.3911736736874,5.60842290522142e-11
"D11","2",23,"Control","fits_baranyi_without_lag",-58.3544494497512,"log10_nmax",-0.475390751567324,0.0155799127202499,-30.5130561450089,1.74745817036433e-13
"D11","2",23,"Control","fits_baranyi_without_lag",-58.3544494497512,"log10_n0",-1.26490269370473,0.0213547953360484,-59.2327237887165,3.34356627563481e-17
"D11","2",23,"Control","fits_baranyi_without_lag",-58.3544494497512,"mumax",0.00258159827993914,0.000158956947832424,16.2408646815534,5.15889739086622e-10
"D11","3",23,"Control","fits_baranyi_without_lag",-64.6276700210287,"log10_nmax",-0.460650313051169,0.0134533854591339,-34.2404753398648,3.97360203685791e-14
"D11","3",23,"Control","fits_baranyi_without_lag",-64.6276700210287,"log10_n0",-1.2452078652476,0.0173034716210029,-71.9628923328986,2.68064240028189e-18
"D11","3",23,"Control","fits_baranyi_without_lag",-64.6276700210287,"mumax",0.00243019475495347,0.000124667829856328,19.4933589343306,5.24914098759758e-11
"D11","1",23,"Sal","fits_baranyi_without_lag",-65.0742188436358,"log10_nmax",-0.629122544399214,0.0137660804644208,-45.7009201729726,7.86026950954865e-15
"D11","1",23,"Sal","fits_baranyi_without_lag",-65.0742188436358,"log10_n0",-1.2977389851018,0.0146395375116095,-88.6461736972678,2.83652997765938e-18
"D11","1",23,"Sal","fits_baranyi_without_lag",-65.0742188436358,"mumax",0.00218185535959259,0.000120444330332898,18.1150524359438,4.41578743466391e-10
"D11","2",23,"Sal","fits_baranyi_without_lag",-76.7955326108446,"log10_nmax",-0.62500088783766,0.00968649009837803,-64.5229470623538,1.27310653446243e-16
"D11","2",23,"Sal","fits_baranyi_without_lag",-76.7955326108446,"log10_n0",-1.25584317940393,0.00988269692069426,-127.074946189456,3.7834051813094e-20
"D11","2",23,"Sal","fits_baranyi_without_lag",-76.7955326108446,"mumax",0.00207199005262868,8.37100417181131e-05,24.7519892488639,1.1432456058525e-11
"D11","3",23,"Sal","fits_baranyi_without_lag",-56.8248912556851,"log10_nmax",-0.613169113359556,0.0179345512381378,-34.1892643544742,2.49463996576617e-13
"D11","3",23,"Sal","fits_baranyi_without_lag",-56.8248912556851,"log10_n0",-1.28518100177628,0.0193100617734778,-66.5549917370778,8.78386606069317e-17
"D11","3",23,"Sal","fits_baranyi_without_lag",-56.8248912556851,"mumax",0.00220722147937725,0.000159079052214525,13.8749976734882,9.44617515177021e-09
"D11","1",27,"Control","fits_baranyi_without_lag",-65.3031565840999,"log10_nmax",-0.490907376660607,0.0116906957457215,-41.9912884004586,2.86307488608484e-15
"D11","1",27,"Control","fits_baranyi_without_lag",-65.3031565840999,"log10_n0",-1.24180090975905,0.0169993587322922,-73.0498678988464,2.20695281786283e-18
"D11","1",27,"Control","fits_baranyi_without_lag",-65.3031565840999,"mumax",0.00284330967341447,0.000146669172084831,19.3858711615958,5.62777377621184e-11
"D11","2",27,"Control","fits_baranyi_without_lag",-65.9495193723359,"log10_nmax",-0.489750640904888,0.0116036560532077,-42.2065802932433,2.68013327543774e-15
"D11","2",27,"Control","fits_baranyi_without_lag",-65.9495193723359,"log10_n0",-1.24933343284584,0.016562564956347,-75.4311567162837,1.45573945252006e-18
"D11","2",27,"Control","fits_baranyi_without_lag",-65.9495193723359,"mumax",0.00280119849936283,0.000139760654769192,20.0428261014437,3.69715137259043e-11
"D11","3",27,"Control","fits_baranyi_without_lag",-65.5681425026437,"log10_nmax",-0.487367421065662,0.0118780762932983,-41.0308377410102,3.85970498145915e-15
"D11","3",27,"Control","fits_baranyi_without_lag",-65.5681425026437,"log10_n0",-1.24712042111753,0.0166962217095547,-74.6947688412545,1.65330198339437e-18
"D11","3",27,"Control","fits_baranyi_without_lag",-65.5681425026437,"mumax",0.00275795267976002,0.000139288873741374,19.8002367718248,4.31104754607921e-11
"D11","1",27,"Sal","fits_baranyi_without_lag",-71.2702806444963,"log10_nmax",-0.612768234900551,0.00938753594194236,-65.2746619230269,1.10830369045866e-16
"D11","1",27,"Sal","fits_baranyi_without_lag",-71.2702806444963,"log10_n0",-1.22403981469708,0.0118162933156463,-103.589152875571,4.38453731340318e-19
"D11","1",27,"Sal","fits_baranyi_without_lag",-71.2702806444963,"mumax",0.00245385068157399,0.000113573506562696,21.6058370991601,5.65100162304299e-11
"D11","2",27,"Sal","fits_baranyi_without_lag",-73.2810861247685,"log10_nmax",-0.629262549295382,0.0085866035580186,-73.2842205935715,2.7725115213782e-17
"D11","2",27,"Sal","fits_baranyi_without_lag",-73.2810861247685,"log10_n0",-1.22941301904579,0.0111570167013946,-110.191913479175,2.09031954730018e-19
"D11","2",27,"Sal","fits_baranyi_without_lag",-73.2810861247685,"mumax",0.00252289426985035,0.000111376554346831,22.651933206642,3.24484801856384e-11
"D11","3",27,"Sal","fits_baranyi_without_lag",-69.2834625608455,"log10_nmax",-0.628521830765875,0.0101370409622982,-62.0024949197188,2.05091788342735e-16
"D11","3",27,"Sal","fits_baranyi_without_lag",-69.2834625608455,"log10_n0",-1.22395071428432,0.0126181863463994,-96.9989411064272,9.64076535960832e-19
"D11","3",27,"Sal","fits_baranyi_without_lag",-69.2834625608455,"mumax",0.0024056365200459,0.000122798141625902,19.5901704064427,1.77595213737459e-10
"D11","1",30,"Control","fits_baranyi_without_lag",-71.1973854347514,"log10_nmax",-0.49780849342375,0.00907509416812576,-54.8543612001505,9.03967449297738e-17
"D11","1",30,"Control","fits_baranyi_without_lag",-71.1973854347514,"log10_n0",-1.238380313559,0.0145318122470545,-85.2185737405196,2.98950261552197e-19
