"Id","Rep","TempLevel","pH_Level","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"D14","1",20,4,"fits_buchanan_without_lag",-104.556227504281,"log10_nmax",-1.37561480642387,0.00274673297212356,-500.818543478711,4.28505720556828e-33
"D14","1",20,4,"fits_buchanan_without_lag",-104.556227504281,"log10_n0",-1.39817650805179,0.0250676790076014,-55.7760655714403,8.2391392851708e-19
"D14","1",20,4,"fits_buchanan_without_lag",-104.556227504281,"mumax",0.00013493572254597,0.000289690685365791,0.465792410189465,0.64805570259308
"D14","2",20,4,"fits_baranyi_without_lag",-129.425960008982,"log10_nmax",-2.0619780509263,620.080622596519,-0.00332533863466334,0.997390590868044
"D14","2",20,4,"fits_baranyi_without_lag",-129.425960008982,"log10_n0",-1.37037883229419,0.00309679704527527,-442.514899187519,2.74279078264466e-32
"D14","2",20,4,"fits_baranyi_without_lag",-129.425960008982,"mumax",1.21897314336608e-06,0.00218827086918468,0.000557048563106017,0.999562880492933
"D14","3",20,4,"fits_baranyi_without_lag",-53.3431076101835,"log10_nmax",-1.3704762465873,0.0130494029044048,-105.022142133775,3.26508010454848e-15
"D14","3",20,4,"fits_baranyi_without_lag",-53.3431076101835,"log10_n0",-1.38152898717449,0.0198598815069232,-69.5638081573089,1.32470573088953e-13
"D14","3",20,4,"fits_baranyi_without_lag",-53.3431076101835,"mumax",0.00170436866374954,0.00770101511705211,0.221317402685733,0.829785069551782
"D14","1",20,5.5,"fits_gompertz",-131.991543390209,"log10_nmax",-1.00904701056727,0.00997911733420767,-101.115857923459,2.96790047201101e-26
"D14","1",20,5.5,"fits_gompertz",-131.991543390209,"log10_n0",-1.38188933588127,0.0026417623729676,-523.093730920597,4.27614128808299e-39
"D14","1",20,5.5,"fits_gompertz",-131.991543390209,"mumax",0.000801441558733636,5.88938828746282e-05,13.6082309335882,6.49797084440973e-11
"D14","1",20,5.5,"fits_gompertz",-131.991543390209,"lag",1260.29509893226,35.5570225443007,35.4443372574869,4.17885940510701e-18
"D14","2",20,5.5,"fits_gompertz",-118.46824012868,"log10_nmax",-0.993731418552244,0.0131575012543778,-75.5258463852783,5.60154351639574e-24
"D14","2",20,5.5,"fits_gompertz",-118.46824012868,"log10_n0",-1.379132779218,0.00346880213945277,-397.581852113239,5.96522491603152e-37
"D14","2",20,5.5,"fits_gompertz",-118.46824012868,"mumax",0.000908520767936817,9.33397916380849e-05,9.73347756613288,1.35124964818782e-08
"D14","2",20,5.5,"fits_gompertz",-118.46824012868,"lag",1352.97196219032,42.6560199004956,31.7181951186823,2.99449418461017e-17
"D14","3",20,5.5,"fits_baranyi",-120.702357887311,"log10_nmax",-0.970805251670428,0.0107417652984928,-90.3766955145297,1.70140729939448e-26
"D14","3",20,5.5,"fits_baranyi",-120.702357887311,"log10_n0",-1.39373701187574,0.00410991258340755,-339.115974753941,2.12688903760773e-37
"D14","3",20,5.5,"fits_baranyi",-120.702357887311,"mumax",0.00497964037836454,0.000485325142999661,10.2604211840062,3.47287778956508e-09
"D14","3",20,5.5,"fits_baranyi",-120.702357887311,"lag",1741.14712865435,18.9851247508738,91.7111239194894,1.2886237921009e-26
"D14","1",20,6,"fits_buchanan_without_lag",17.6475925888679,"log10_nmax",-0.819852739394556,0.116829552568195,-7.01751159164971,7.05389246220342e-08
"D14","1",20,6,"fits_buchanan_without_lag",17.6475925888679,"log10_n0",-1.37450479942302,0.0982277204288307,-13.9930438518005,6.1107348633465e-15
"D14","1",20,6,"fits_buchanan_without_lag",17.6475925888679,"mumax",0.000682222197974448,0.000220922843501314,3.08805638729881,0.00422530821584291
"D14","2",20,6,"fits_buchanan_without_lag",18.9269773517897,"log10_nmax",-0.824238041786349,0.103098980803696,-7.99462841786698,5.01104152055399e-09
"D14","2",20,6,"fits_buchanan_without_lag",18.9269773517897,"log10_n0",-1.37530878376908,0.103864337732847,-13.2413955914932,2.66717756932181e-14
"D14","2",20,6,"fits_buchanan_without_lag",18.9269773517897,"mumax",0.000703166908694084,0.00025582059602007,2.7486719976171,0.00988759602106718
"D14","3",20,6,"fits_baranyi_without_lag",20.106749413185,"log10_nmax",-0.749415997925244,0.230373638091145,-3.25304580912484,0.00275613572890367
"D14","3",20,6,"fits_baranyi_without_lag",20.106749413185,"log10_n0",-1.40899569478796,0.129355520944315,-10.8924279729391,4.00340115910154e-12
"D14","3",20,6,"fits_baranyi_without_lag",20.106749413185,"mumax",0.00121263373059504,0.000811120685668117,1.4950102395628,0.145022902306185
"D14","1",20,7.2,"fits_buchanan_without_lag",14.4243776613693,"log10_nmax",-0.805324544789877,0.0964934179925246,-8.34590132201831,1.99176104838616e-09
"D14","1",20,7.2,"fits_buchanan_without_lag",14.4243776613693,"log10_n0",-1.38684293872878,0.0972097380744592,-14.266502165313,3.62661239473873e-15
"D14","1",20,7.2,"fits_buchanan_without_lag",14.4243776613693,"mumax",0.000737126738901122,0.000239430140191891,3.07867145844861,0.00432814797682996
"D14","2",20,7.2,"fits_baranyi_without_lag",12.8544565270912,"log10_nmax",-0.743044728978712,0.205074171362303,-3.62329748326024,0.00102791338601812
"D14","2",20,7.2,"fits_baranyi_without_lag",12.8544565270912,"log10_n0",-1.40268007704829,0.11640802766486,-12.0496851049364,3.12765571429417e-13
"D14","2",20,7.2,"fits_baranyi_without_lag",12.8544565270912,"mumax",0.00122014089587274,0.000730496120117374,1.67029072745341,0.104930056895894
"D14","3",20,7.2,"fits_buchanan_without_lag",13.674422888099,"log10_nmax",-0.828438452066951,0.0954350635305945,-8.68065071074607,8.38991743330271e-10
"D14","3",20,7.2,"fits_buchanan_without_lag",13.674422888099,"log10_n0",-1.37758552213284,0.096143528014075,-14.3284269943908,3.22580150128662e-15
"D14","3",20,7.2,"fits_buchanan_without_lag",13.674422888099,"mumax",0.000706473526949783,0.000236804037264507,2.98336774622074,0.00551620641165351
"D14","1",20,8,"fits_baranyi_without_lag",-3.88979664992858,"log10_nmax",-0.361530559883071,1.27314058975976,-0.283967507430811,0.778452952428973
"D14","1",20,8,"fits_baranyi_without_lag",-3.88979664992858,"log10_n0",-1.4858544417762,0.0914940581938233,-16.2399009412013,4.2562310775865e-16
"D14","1",20,8,"fits_baranyi_without_lag",-3.88979664992858,"mumax",0.000643571789392517,0.0004426544855155,1.45389194157388,0.156713975583873
"D14","2",20,8,"fits_buchanan_without_lag",-6.85261375981544,"log10_nmax",-0.847691922606831,0.0997983308398859,-8.49404910355513,1.35609347410172e-09
"D14","2",20,8,"fits_buchanan_without_lag",-6.85261375981544,"log10_n0",-1.46445506818988,0.0662781273292696,-22.0956011764556,1.56138524236885e-20
"D14","2",20,8,"fits_buchanan_without_lag",-6.85261375981544,"mumax",0.000551341079440299,0.000137215480416956,4.01806762447606,0.000347402513393926
"D14","3",20,8,"fits_buchanan_without_lag",-3.87927129655588,"log10_nmax",-0.856991683163508,0.10314418216631,-8.30867689446304,3.69186364903322e-09
"D14","3",20,8,"fits_buchanan_without_lag",-3.87927129655588,"log10_n0",-1.50880765008651,0.0772624916938922,-19.5283327913405,3.13181820208018e-18
"D14","3",20,8,"fits_buchanan_without_lag",-3.87927129655588,"mumax",0.000608572001806115,0.000154534219658367,3.93810512099845,0.000473162883133065
"D14","1",20,9,"fits_buchanan_without_lag",12.0192463094347,"log10_nmax",-0.777019007651735,0.13172004659755,-5.89901862110475,1.63602604710825e-06
"D14","1",20,9,"fits_buchanan_without_lag",12.0192463094347,"log10_n0",-1.40695177071707,0.0874779957366755,-16.0834934416221,1.35571837035627e-16
"D14","1",20,9,"fits_buchanan_without_lag",12.0192463094347,"mumax",0.000689187282038553,0.000181105529013327,3.805445840297,0.000625392409326695
"D14","2",20,9,"fits_buchanan_without_lag",13.9429498020043,"log10_nmax",-0.775144692125895,0.13549958458903,-5.72064257227732,2.72252664073443e-06
"D14","2",20,9,"fits_buchanan_without_lag",13.9429498020043,"log10_n0",-1.40253951164427,0.0899880650518175,-15.5858391980831,3.23706347581772e-16
"D14","2",20,9,"fits_buchanan_without_lag",13.9429498020043,"mumax",0.000682002343342596,0.000186302120817677,3.66073311645245,0.00092864173158889
"D14","3",20,9,"fits_baranyi_without_lag",17.2286099338191,"log10_nmax",-0.715225189286077,0.250563466587916,-2.85446716963874,0.00761966790980083
"D14","3",20,9,"fits_baranyi_without_lag",17.2286099338191,"log10_n0",-1.38670155052617,0.121961854430937,-11.3699611816858,1.37079508101083e-12
"D14","3",20,9,"fits_baranyi_without_lag",17.2286099338191,"mumax",0.0011282133152806,0.000747534604003086,1.50924560446962,0.141361922832276
"D14","1",20,10,"fits_buchanan_without_lag",0.745741118496353,"log10_nmax",-0.738002127777536,0.111596754773611,-6.61311459526463,2.17192998565876e-07
"D14","1",20,10,"fits_buchanan_without_lag",0.745741118496353,"log10_n0",-1.42303571552525,0.0741137026954094,-19.2007100410785,9.0984537692703e-19
"D14","1",20,10,"fits_buchanan_without_lag",0.745741118496353,"mumax",0.000742719432838942,0.000153437458820696,4.8405352809373,3.3906671137728e-05
"D14","2",20,10,"fits_buchanan_without_lag",0.642276328569132,"log10_nmax",-0.74762537824205,0.111427084640089,-6.70954804800724,1.65868209075774e-07
"D14","2",20,10,"fits_buchanan_without_lag",0.642276328569132,"log10_n0",-1.41246979804867,0.0740010215126119,-19.0871662198331,1.07839703236374e-18
"D14","2",20,10,"fits_buchanan_without_lag",0.642276328569132,"mumax",0.000716189030147864,0.000153204175774545,4.67473570173314,5.44455901126042e-05
"D14","3",20,10,"fits_buchanan_without_lag",-0.800789194616438,"log10_nmax",-0.728182321887302,0.109087343428663,-6.67522279854119,1.82556111100063e-07
"D14","3",20,10,"fits_buchanan_without_lag",-0.800789194616438,"log10_n0",-1.40950742098208,0.0724471511296157,-19.4556638736604,6.23123043964155e-19
"D14","3",20,10,"fits_buchanan_without_lag",-0.800789194616438,"mumax",0.000729556902583225,0.000149987201495334,4.86412770762924,3.1693656549678e-05
"D14","1",20,11,"fits_buchanan_without_lag",-8.93422912948499,"log10_nmax",-0.600880012414652,0.110934666872789,-5.41652153788585,7.18604111434229e-06
"D14","1",20,11,"fits_buchanan_without_lag",-8.93422912948499,"log10_n0",-1.42994381253457,0.0638035528913741,-22.4116643624699,2.73045166914893e-20
"D14","1",20,11,"fits_buchanan_without_lag",-8.93422912948499,"mumax",0.000775871150505919,0.000132092375375972,5.8737012510947,1.98556599719826e-06
"D14","2",20,11,"fits_buchanan_without_lag",-10.2204734096492,"log10_nmax",-0.621485174130487,0.10879364159107,-5.7125137557809,3.12170571510821e-06
"D14","2",20,11,"fits_buchanan_without_lag",-10.2204734096492,"log10_n0",-1.43399196845711,0.0625721532460628,-22.9174144418202,1.4488905949427e-20
"D14","2",20,11,"fits_buchanan_without_lag",-10.2204734096492,"mumax",0.000774848720549657,0.000129543010763458,5.98140120399477,1.46869648901567e-06
"D14","3",20,11,"fits_buchanan_without_lag",-13.3321917042607,"log10_nmax",-0.603440265131493,0.103783359880312,-5.81442213691489,2.34468857294484e-06
"D14","3",20,11,"fits_buchanan_without_lag",-13.3321917042607,"log10_n0",-1.42146743050648,0.0596905131146177,-23.8139589749712,4.85625523716243e-21
"D14","3",20,11,"fits_buchanan_without_lag",-13.3321917042607,"mumax",0.000767125782524134,0.000123577155713358,6.20766660387873,7.8142325388114e-07
"D14","3",38,4,"fits_baranyi_without_lag",-101.139715407618,"log10_nmax",-1.36166107609729,0.0390754805598211,-34.8469438274139,2.97664070897777e-17
"D14","3",38,4,"fits_baranyi_without_lag",-101.139715407618,"log10_n0",-1.37919021079083,0.0104266421023149,-132.275587601173,4.68378832077239e-27
"D14","3",38,4,"fits_baranyi_without_lag",-101.139715407618,"mumax",0.00052713651483226,0.0022520964786778,0.234064801318699,0.817730275724776
"D14","1",38,5.5,"fits_buchanan_without_lag",-136.224571692889,"log10_nmax",-1.39198230567661,0.00183227461243681,-759.701791548248,6.84978756166665e-38
"D14","1",38,5.5,"fits_buchanan_without_lag",-136.224571692889,"log10_n0",-1.39630598910561,0.00292944189863981,-476.64573574712,1.18767059584188e-34
"D14","1",38,5.5,"fits_buchanan_without_lag",-136.224571692889,"mumax",7.4318338770702e-06,1.10692800997035e-05,0.671392702156779,0.511548090493886
"D14","3",38,5.5,"fits_baranyi_without_lag",-145.030352051815,"log10_nmax",-1.38220520591318,0.00197528929159595,-699.748240317959,2.37146186282232e-39
"D14","3",38,5.5,"fits_baranyi_without_lag",-145.030352051815,"log10_n0",-1.38793718493846,0.00506124607438792,-274.228354942475,1.95185626146265e-32
"D14","3",38,5.5,"fits_baranyi_without_lag",-145.030352051815,"mumax",0.0024418565425138,0.00463559062967056,0.526762766083023,0.605164356447887
"D14","1",38,6,"fits_baranyi_without_lag",27.9439317480998,"log10_nmax",-0.703567768720537,0.160202216279323,-4.39174803608097,0.00013688844900054
"D14","1",38,6,"fits_baranyi_without_lag",27.9439317480998,"log10_n0",-1.356984852025,0.168604658476182,-8.04832360083748,7.09148234838348e-09
"D14","1",38,6,"fits_baranyi_without_lag",27.9439317480998,"mumax",0.00185938156764213,0.00124847901410143,1.489317438772,0.147199761692908
"D14","2",38,6,"fits_baranyi_without_lag",30.6490213431825,"log10_nmax",-0.701060744996873,0.19647699392144,-3.56815691753299,0.00127378040507164
"D14","2",38,6,"fits_baranyi_without_lag",30.6490213431825,"log10_n0",-1.34932394568536,0.169218539458476,-7.97385410607721,8.56093624426883e-09
"D14","2",38,6,"fits_baranyi_without_lag",30.6490213431825,"mumax",0.00161502827838836,0.00119009875103728,1.35705400663661,0.185233287447833
"D14","3",38,6,"fits_baranyi_without_lag",32.4386204489335,"log10_nmax",-0.717959204880965,0.187431683142798,-3.83051143137831,0.000632599119741511
