"Id","Rep","TempLevel","Stress","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"I9","1",15,"Control","fits_buchanan",-48.3806225467851,"log10_nmax",-0.353846947790138,0.0186830399001165,-18.9394739657936,2.63239551137321e-10
"I9","1",15,"Control","fits_buchanan",-48.3806225467851,"log10_n0",-1.25442041987934,0.0215733161444641,-58.1468519479902,4.42091663772407e-16
"I9","1",15,"Control","fits_buchanan",-48.3806225467851,"mumax",0.00162275922237364,8.16419368953992e-05,19.8765399754386,1.49934168686525e-10
"I9","1",15,"Control","fits_buchanan",-48.3806225467851,"lag",302.428650850326,46.9874042432645,6.43637706149043,3.22446421487015e-05
"I9","2",15,"Control","fits_buchanan",-51.3561422180216,"log10_nmax",-0.345304546779324,0.0170241198203008,-20.2832540198382,1.18351207822513e-10
"I9","2",15,"Control","fits_buchanan",-51.3561422180216,"log10_n0",-1.25442041859966,0.0196577604967702,-63.8129871816153,1.45335125300701e-16
"I9","2",15,"Control","fits_buchanan",-51.3561422180216,"mumax",0.00161432533734706,7.43927201852424e-05,21.7000444845583,5.37002949930099e-11
"I9","2",15,"Control","fits_buchanan",-51.3561422180216,"lag",307.182845304066,42.894911882237,7.16128864298405,1.14623583606825e-05
"I9","3",15,"Control","fits_buchanan",-56.4057057491356,"log10_nmax",-0.345869425378632,0.0145389649781983,-23.7891367024597,1.82423236685027e-11
"I9","3",15,"Control","fits_buchanan",-56.4057057491356,"log10_n0",-1.26362177613673,0.0205612016757979,-61.4566111485649,2.27982021855853e-16
"I9","3",15,"Control","fits_buchanan",-56.4057057491356,"mumax",0.00157149597287673,5.53115616186825e-05,28.4117086353594,2.24245585549635e-12
"I9","3",15,"Control","fits_buchanan",-56.4057057491356,"lag",280.149119999131,38.7105682962822,7.23701904490088,1.03285950455343e-05
"I9","1",15,"Sal","fits_buchanan_without_lag",-43.8041910097281,"log10_nmax",-0.596396998272126,0.0212296786804292,-28.0926059809808,5.04092906830903e-13
"I9","1",15,"Sal","fits_buchanan_without_lag",-43.8041910097281,"log10_n0",-1.19411836711695,0.026937597618603,-44.329059481247,1.42210817241877e-15
"I9","1",15,"Sal","fits_buchanan_without_lag",-43.8041910097281,"mumax",0.000923744692920809,8.03342816468425e-05,11.4987608525795,3.48026578380393e-08
"I9","2",15,"Sal","fits_buchanan_without_lag",-43.8885312033328,"log10_nmax",-0.645340417892847,0.0193289452458238,-33.3872546942145,5.49739536142144e-14
"I9","2",15,"Sal","fits_buchanan_without_lag",-43.8885312033328,"log10_n0",-1.21202695649981,0.0286873038250474,-42.2495945903973,2.64511340632578e-15
"I9","2",15,"Sal","fits_buchanan_without_lag",-43.8885312033328,"mumax",0.000942228123847716,9.69793328884566e-05,9.71576206789796,2.5115330073866e-07
"I9","3",15,"Sal","fits_buchanan_without_lag",-43.2731982159245,"log10_nmax",-0.631051723501143,0.0197042210777058,-32.0262202201508,9.38635533557605e-14
