Id,Control,pH,Sal,Temp,pHSal,pHTemp,SalTemp,pHSalTemp
D11,0.118,0.118,0.095,0.100,0.057,0.147,0.000,0.012
D14,0.091,0.053,0.017,0.160,0.010,0.024,0.047,0.005
D17,0.118,0.111,0.085,0.118,0.110,0.135,0.058,0.072
I11,0.110,0.044,0.108,0.101,0.068,0.102,0.112,0.058
I15,0.149,0.135,0.197,0.088,0.156,0.073,0.199,0.194
I18,0.160,0.042,0.198,0.037,0.081,0.000,0.323,0.009
I2,0.133,0.117,0.171,0.011,0.130,0.000,0.149,0.011
I20,0.163,0.160,0.123,0.252,0.120,0.237,0.164,0.135
I22,0.202,0.156,0.182,0.000,0.189,0.000,0.183,0.153
I23,0.153,0.165,0.066,0.006,0.065,0.014,0.000,0.000
I8,0.165,0.154,0.084,0.092,0.089,0.003,0.077,0.107
I9,0.160,0.172,0.114,0.376,0.096,0.397,0.293,0.309
