taxon,n_train_com,n_test_samples,focal_RMSE,focal_bias,focal_spearman,others_RMSE
D11,12,78,0.142,0.119,0.643,0.138
D14,13,72,0.164,0.126,0.742,0.145
D17,13,70,0.181,0.164,0.506,0.154
I11,13,71,0.232,0.183,0.623,0.152
I15,13,71,0.195,-0.021,0.872,0.124
I18,12,78,0.25,0.165,0.746,0.141
I2,12,79,0.153,0.095,0.768,0.139
I20,9,104,0.202,-0.055,0.603,0.114
I22,13,70,0.305,0.252,0.88,0.148
I23,13,71,0.174,0.141,0.603,0.155
I8,13,70,0.253,0.206,0.715,0.151
I9,12,80,0.323,-0.251,0.891,0.11
POOLED (all held-out taxa),NA,914,0.221,0.085,0.717,NA
