Stress,id_lab,mu,se
Control,Aer.,0.153,0.459
Control,Chr.,0.568,0.07
Control,Chry.,0.775,0.28
Control,Cur.,-0.699,0.133
Control,Erw.,1.316,0.197
Control,Jan.,0.58,0.324
Control,Mic.,-1.635,0.096
Control,Ped.,-0.919,0.275
Control,Pse.A.,-0.953,0.119
Control,Pse.F.,0.753,0.123
Control,Ser.,0.351,0.155
Control,Yer.,-0.071,0.292
Temp,Aer.,-0.621,0.343
Temp,Chr.,2.337,0.203
Temp,Chry.,1.152,0.109
Temp,Cur.,-0.117,0.062
Temp,Erw.,-1.179,0
Temp,Jan.,-1.094,0.052
Temp,Mic.,0.255,0.021
Temp,Ped.,-0.01,0.104
Temp,Pse.A.,-0.21,0.009
Temp,Pse.F.,0.139,0.067
Temp,Ser.,0.08,0.072
Temp,Yer.,-1.018,0.075
pH,Aer.,-1.595,0.17
pH,Chr.,1.026,0.065
pH,Chry.,0.887,0.021
pH,Cur.,-0.315,0.153
pH,Erw.,0.875,0.121
pH,Jan.,0.788,0.028
pH,Mic.,-1.323,0.13
pH,Ped.,-0.107,0.081
pH,Pse.A.,-1.631,0.029
pH,Pse.F.,0.91,0.06
pH,Ser.,0.392,0.073
pH,Yer.,0.094,0.067
Sal,Aer.,1.204,0.224
Sal,Chr.,0.005,0.111
Sal,Chry.,0.092,0.035
Sal,Cur.,-0.585,0.064
Sal,Erw.,1.316,0.08
Sal,Jan.,-1.026,0.139
Sal,Mic.,-1.697,0.037
Sal,Ped.,-0.528,0.167
Sal,Pse.A.,-0.129,0.038
Sal,Pse.F.,-0.448,0.1
Sal,Ser.,1.529,0.039
Sal,Yer.,1.144,0.113
pHTemp,Aer.,-0.802,0
pHTemp,Chr.,2.491,0.093
pHTemp,Chry.,1.048,0.047
pHTemp,Cur.,0.192,0.085
pHTemp,Erw.,-0.802,0
pHTemp,Jan.,-0.613,0.081
pHTemp,Mic.,-0.687,0.116
pHTemp,Ped.,-0.001,0.042
pHTemp,Pse.A.,0.548,0.319
pHTemp,Pse.F.,-0.76,0.042
pHTemp,Ser.,0.051,0.047
pHTemp,Yer.,-0.802,0
SalTemp,Aer.,1.827,0.743
SalTemp,Chr.,1.456,0.167
SalTemp,Chry.,0.146,0.093
SalTemp,Cur.,-0.417,0.082
SalTemp,Erw.,0.315,0.196
SalTemp,Jan.,-1.177,0
SalTemp,Mic.,-0.77,0.063
SalTemp,Ped.,-1.177,0
SalTemp,Pse.A.,-0.306,0.047
SalTemp,Pse.F.,-0.388,0.115
SalTemp,Ser.,0.595,0.104
SalTemp,Yer.,0.071,0.094
pHSal,Aer.,-0.059,0.179
pHSal,Chr.,-0.116,0.041
pHSal,Chry.,0.407,0.061
pHSal,Cur.,0.163,0.035
pHSal,Erw.,2.004,0.07
pHSal,Jan.,-0.746,0.091
pHSal,Mic.,-1.813,0.08
pHSal,Ped.,-0.871,0.078
pHSal,Pse.A.,-0.537,0.083
pHSal,Pse.F.,-0.281,0.045
pHSal,Ser.,1.202,0.177
pHSal,Yer.,0.583,0.118
pHSalTemp,Aer.,-1.02,0
pHSalTemp,Chr.,2.187,0.122
pHSalTemp,Chry.,0.509,0.119
pHSalTemp,Cur.,0.095,0.077
pHSalTemp,Erw.,0.686,0.121
pHSalTemp,Jan.,-1.02,0
pHSalTemp,Mic.,-0.981,0.039
pHSalTemp,Ped.,-0.841,0.115
pHSalTemp,Pse.A.,-0.069,0.065
pHSalTemp,Pse.F.,0.113,0.05
pHSalTemp,Ser.,0.996,0.098
pHSalTemp,Yer.,-1.011,0.009
