Source,Id,g,Rep,TempLevel,SalinityLevel,pH_Level,Stress
pH,I9,0.003,1,20,0,5.5,pH
pH,I9,0.003,2,20,0,5.5,pH
pH,I9,0.003,3,20,0,5.5,pH
pH,I9,0.003,1,20,0,7.2,Control
pH,I9,0.003,2,20,0,7.2,Control
pH,I9,0.003,3,20,0,7.2,Control
pH,I9,0.006,1,38,0,5.5,pHTemp
pH,I9,0.007,2,38,0,5.5,pHTemp
pH,I9,0.007,3,38,0,5.5,pHTemp
pH,I9,0.007,1,38,0,7.2,Temp
pH,I9,0.007,2,38,0,7.2,Temp
pH,I9,0.005,3,38,0,7.2,Temp
pH,I9,0.002,1,20,20,5.5,pHSal
pH,I9,0.002,2,20,20,5.5,pHSal
pH,I9,0.002,3,20,20,5.5,pHSal
pH,I9,0.002,1,20,20,7.2,Sal
pH,I9,0.002,2,20,20,7.2,Sal
pH,I9,0.002,3,20,20,7.2,Sal
pH,I9,0.005,1,38,20,5.5,pHSalTemp
pH,I9,0.005,2,38,20,5.5,pHSalTemp
pH,I9,0.005,3,38,20,5.5,pHSalTemp
pH,I9,0.004,1,38,20,7.2,SalTemp
pH,I9,0.005,2,38,20,7.2,SalTemp
pH,I9,0.006,3,38,20,7.2,SalTemp
pH,I11,0.001,1,20,0,5.5,pH
pH,I11,0.001,2,20,0,5.5,pH
pH,I11,0.001,3,20,0,5.5,pH
pH,I11,0.002,1,20,0,7.2,Control
pH,I11,0.002,2,20,0,7.2,Control
pH,I11,0.002,3,20,0,7.2,Control
pH,I11,0.004,1,38,0,5.5,pHTemp
pH,I11,0.004,2,38,0,5.5,pHTemp
pH,I11,0.003,3,38,0,5.5,pHTemp
pH,I11,0.002,1,38,0,7.2,Temp
pH,I11,0.002,2,38,0,7.2,Temp
pH,I11,0.002,3,38,0,7.2,Temp
pH,I11,0.001,1,20,20,5.5,pHSal
pH,I11,0.001,2,20,20,5.5,pHSal
pH,I11,0.002,1,20,20,7.2,Sal
pH,I11,0.002,2,20,20,7.2,Sal
pH,I11,0.002,3,20,20,7.2,Sal
pH,I11,0.002,1,38,20,5.5,pHSalTemp
pH,I11,0.002,2,38,20,5.5,pHSalTemp
pH,I11,0.002,3,38,20,5.5,pHSalTemp
pH,I11,0.001,1,38,20,7.2,SalTemp
pH,I11,0.001,2,38,20,7.2,SalTemp
pH,I11,0.002,3,38,20,7.2,SalTemp
pH,I15,0.002,1,20,0,5.5,pH
pH,I15,0.002,2,20,0,5.5,pH
pH,I15,0.002,3,20,0,5.5,pH
pH,I15,0.003,1,20,0,7.2,Control
pH,I15,0.003,2,20,0,7.2,Control
pH,I15,0.003,3,20,0,7.2,Control
pH,I15,0.002,1,38,0,5.5,pHTemp
pH,I15,0.002,2,38,0,5.5,pHTemp
pH,I15,0.001,3,38,0,5.5,pHTemp
pH,I15,0.003,1,38,0,7.2,Temp
pH,I15,0.002,2,38,0,7.2,Temp
pH,I15,0.002,3,38,0,7.2,Temp
pH,I15,0.003,1,20,20,5.5,pHSal
pH,I15,0.002,2,20,20,5.5,pHSal
pH,I15,0.002,3,20,20,5.5,pHSal
pH,I15,0.003,1,20,20,7.2,Sal
pH,I15,0.003,2,20,20,7.2,Sal
pH,I15,0.003,3,20,20,7.2,Sal
pH,I15,0.003,1,38,20,5.5,pHSalTemp
pH,I15,0.003,2,38,20,5.5,pHSalTemp
pH,I15,0.004,1,38,20,7.2,SalTemp
pH,I15,0.003,2,38,20,7.2,SalTemp
pH,I15,0.003,3,38,20,7.2,SalTemp
pH,I20,0.003,1,20,0,5.5,pH
pH,I20,0.003,2,20,0,5.5,pH
pH,I20,0.003,3,20,0,5.5,pH
pH,I20,0.003,1,20,0,7.2,Control
pH,I20,0.003,2,20,0,7.2,Control
pH,I20,0.003,3,20,0,7.2,Control
pH,I20,0.004,1,38,0,5.5,pHTemp
pH,I20,0.004,2,38,0,5.5,pHTemp
pH,I20,0.004,3,38,0,5.5,pHTemp
pH,I20,0.004,1,38,0,7.2,Temp
pH,I20,0.004,2,38,0,7.2,Temp
pH,I20,0.004,3,38,0,7.2,Temp
pH,I20,0.002,1,20,20,5.5,pHSal
pH,I20,0.002,2,20,20,5.5,pHSal
pH,I20,0.002,3,20,20,5.5,pHSal
pH,I20,0.002,1,20,20,7.2,Sal
pH,I20,0.002,2,20,20,7.2,Sal
pH,I20,0.002,3,20,20,7.2,Sal
pH,I20,0.002,1,38,20,5.5,pHSalTemp
pH,I20,0.002,2,38,20,5.5,pHSalTemp
pH,I20,0.002,3,38,20,5.5,pHSalTemp
pH,I20,0.003,1,38,20,7.2,SalTemp
pH,I20,0.003,2,38,20,7.2,SalTemp
pH,I20,0.003,3,38,20,7.2,SalTemp
pH,I22,0.003,1,20,0,5.5,pH
pH,I22,0.003,2,20,0,5.5,pH
pH,I22,0.003,3,20,0,5.5,pH
pH,I22,0.003,1,20,0,7.2,Control
pH,I22,0.003,2,20,0,7.2,Control
pH,I22,0.003,1,20,20,5.5,pHSal
pH,I22,0.003,2,20,20,5.5,pHSal
pH,I22,0.003,3,20,20,5.5,pHSal
pH,I22,0.003,1,20,20,7.2,Sal
pH,I22,0.003,2,20,20,7.2,Sal
pH,I22,0.002,1,38,20,5.5,pHSalTemp
pH,I22,0.003,2,38,20,5.5,pHSalTemp
pH,I22,0.003,3,38,20,5.5,pHSalTemp
pH,I22,0.005,1,38,20,7.2,SalTemp
pH,I22,0.003,2,38,20,7.2,SalTemp
pH,I22,0.003,3,38,20,7.2,SalTemp
pH,D17,0.001,1,20,0,5.5,pH
pH,D17,0.001,2,20,0,5.5,pH
pH,D17,0.001,3,20,0,5.5,pH
pH,D17,0.002,1,20,0,7.2,Control
pH,D17,0.002,2,20,0,7.2,Control
pH,D17,0.002,3,20,0,7.2,Control
pH,D17,0.002,1,38,0,5.5,pHTemp
pH,D17,0.002,2,38,0,5.5,pHTemp
pH,D17,0.002,3,38,0,5.5,pHTemp
pH,D17,0.002,1,38,0,7.2,Temp
pH,D17,0.002,2,38,0,7.2,Temp
pH,D17,0.001,3,38,0,7.2,Temp
pH,D17,0.002,2,20,20,5.5,pHSal
pH,D17,0.002,3,20,20,5.5,pHSal
pH,D17,0.001,1,20,20,7.2,Sal
pH,D17,0.001,2,20,20,7.2,Sal
pH,D17,0.001,3,20,20,7.2,Sal
pH,D17,0.002,1,38,20,5.5,pHSalTemp
pH,D17,0.002,2,38,20,5.5,pHSalTemp
pH,D17,0.002,3,38,20,5.5,pHSalTemp
pH,D17,0.001,1,38,20,7.2,SalTemp
pH,D17,0.001,2,38,20,7.2,SalTemp
pH,D17,0.001,3,38,20,7.2,SalTemp
pH,I2,0.002,1,20,0,5.5,pH
pH,I2,0.002,2,20,0,5.5,pH
pH,I2,0.002,3,20,0,5.5,pH
pH,I2,0.002,1,20,0,7.2,Control
pH,I2,0.003,2,20,0,7.2,Control
pH,I2,0.003,3,20,0,7.2,Control
pH,I2,0.001,1,38,0,7.2,Temp
pH,I2,0.001,2,38,0,7.2,Temp
pH,I2,0,3,38,0,7.2,Temp
pH,I2,0.002,1,20,20,5.5,pHSal
